n_neighbors,Selected Features,Adjusted R²,RMSE,R²,Explained Variance
2,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Cloud Cover Low [low cld lay]']",0.28285558355714735,0.4534169062240943,0.284052914829631,0.28434069814419516
2,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Sunshine Duration']",0.3524312046912509,0.43086116869465735,0.3535123737723038,0.3535168429024409
2,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Shortwave Radiation']",0.37391854801645064,0.42365254285198095,0.37496384221995316,0.3749776526986669
2,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Shortwave Radiation', 'Basel Geopotential Height [1000 mb]']",0.37954774685410386,0.42172688492228394,0.38063297102084026,0.38063366121189535
"(['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]'], 1)","(['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Shortwave Radiation', 'Basel Geopotential Height [1000 mb]'], 2)"
3,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Shortwave Radiation', 'Basel Geopotential Height [1000 mb]', 'Basel Wind Speed [10 m]']",0.3587353076697105,0.4287246695556994,0.35990791761752394,0.3600572301473267
3,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Shortwave Radiation', 'Basel Geopotential Height [1000 mb]', 'Basel Wind Speed [850 mb]']",0.36129251054415634,0.4278689923810287,0.3624604444173861,0.3625841330173766
3,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Shortwave Radiation', 'Basel Geopotential Height [1000 mb]', 'Basel Cloud Cover Total']",0.3626198029977884,0.4274241857662152,0.3637853097978401,0.3638880779351853
3,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Shortwave Radiation', 'Basel Geopotential Height [1000 mb]', 'Basel Cloud Cover High [high cld lay]']",0.36599581619248034,0.4262907135100893,0.3671551496499118,0.3673372697307109
3,"['Basel Wind Direction [10 m]', 'Basel Longwave Radiation', 'Basel Direct Shortwave Radiation', 'Basel Mean Sea Level Pressure [MSL]', 'Basel Geopotential Height [850 mb]', 'Basel Geopotential Height [800 mb]', 'Basel Geopotential Height [700 mb]', 'Basel Geopotential Height [500 mb]', 'Basel Relative Humidity [2 m]', 'Basel Wind Gust', 'Basel Wind Speed [100 m]', 'Basel Wind Direction [100 m]', 'Basel Wind Speed [900 mb]', 'Basel Wind Direction [900 mb]', 'Basel Wind Direction [850 mb]', 'Basel Wind Speed [800 mb]', 'Basel Wind Direction [800 mb]', 'Basel Wind Speed [700 mb]', 'Basel Wind Speed [500 mb]', 'Basel Wind Speed [250 mb]', 'Basel Shortwave Radiation', 'Basel Geopotential Height [1000 mb]', 'Basel Cloud Cover Medium [mid cld lay]']",0.3719583085056617,0.4242814528314366,0.3731067390116538,0.3732950504661795
